Before,After
3.86742471266244,5.34799509821092
5.44302072581142,5.77083934238885
4.12977055055094,6.61885785412577
4.06814827579831,4.46992888351995
4.92875436478702,5.38977954456214
4.79670083448242,6.07263960878491
5.87229736132638,6.91549077926941
5.4937227998083,5.79285908049972
5.10932787141978,6.28349699623494
6.2971607968844,4.99422074069174
5.14654249435327,4.59631393462502
5.2344234049385,5.10671744008003
5.19430439604953,5.65318319218658
5.78029423051111,6.18117747718444
6.52144852377806,6.79406477313316
4.06007991427792,4.11525679841329
5.09435796626848,5.00411321384976
6.92341292193378,5.77679163982642
4.10570033483655,5.01285247307354
7.66574504365385,6.17564541448577
5.35701627037348,7.36365973213449
3.48538110719407,4.87369219415644
5.3787872045258,5.59867364600418
5.09958921081938,5.03073971958723
4.55004770644439,6.35396020800683
3.43488066584604,4.70750516265895
4.51884153513657,6.1711917079173
4.91754378065697,6.67682012499472
5.10195198023253,4.86430777409148
4.16829187781692,6.14408219272787
4.4529196513749,4.43694175963381
3.11437162198838,5.29139274287177
6.21893020204033,5.56745111020949
3.46296439841883,4.33535230630586
6.55716667636759,6.95588096556676
4.79442297398042,5.70617618776457
5.85153302305026,6.19075238380252
4.56985564179787,5.66916570308593
4.21700106105276,5.96285492445076
5.38359385422245,6.22032399536323
5.78740678301614,6.06719878119245
4.30865355311008,6.06472277471777
3.81319891113306,8.59413831534837
5.95598039700588,6.36637729855923
4.89346224745456,5.26049327188695
6.76170722577193,4.65183831191129
5.54678681746598,5.92034123651943
4.48710981464151,5.43969262944199
5.41084510183402,6.1904491137286
3.80267135908683,5.4631941723757
3.8574974691253,6.4093810054597
3.05551581623659,4.74285185008093
4.39851056811042,5.93135485709729
4.7888479019937,5.47661251534808
5.22346488385762,3.05224458517395
6.0225233909491,6.32507192601445
5.4567625348103,5.10207037280747
4.42525655354525,4.44444420815608
4.14851900975177,5.71301675169265
5.26497576684805,7.34727589177775
6.98256881952284,5.79518116950373
6.79142552786418,4.92165995540776
4.30424890153367,5.92651067221646
4.45207440549117,5.05342013952313
5.86924751750422,3.2950465165048
3.5481065702105,6.02448813246303
5.37075784995012,6.11356347844423
2.26094292510698,5.58834584575776
5.76544986346151,5.31443832646173
5.11780945051587,4.33778361770661
7.42946098449296,6.34418368074845
4.21214662418593,5.1944262218357
3.1431956178091,6.33575757671344
3.87282601175461,6.24664989707643
5.89362947195591,5.45299940234452
4.04440873807453,6.27538778075636
4.66128150601909,5.06421511502248
4.70962606102851,4.20971978902807
4.25752616881211,4.24629538885353
4.65207526252791,5.40492570263223
3.97847823665323,5.67616434244428
3.03081913902277,5.32593071888426
5.13640514974908,6.21509248160154
4.72449339207167,4.92995593876198
5.11303391470569,5.13284664102819
5.1430326711442,5.51807404228089
5.16208317014053,7.30377567580694
4.30207014116144,5.06375059947036
5.79888639624305,6.88173873946018
3.95525166767843,5.8958631596413
5.33088719373288,5.79203516042205
5.80211370048751,5.1392873909505
5.36210745277515,4.76092981766756
3.44266410754941,5.89496336371729
5.00323812023262,5.37159272331979
5.17028063699446,6.64767976857032
5.50963670033692,4.84994583059593
5.94246568674972,6.31973694223943
3.92355954362466,5.94901785956371
4.31167351228822,6.08795654522241
